article_content,labels
wed apr syria attack symptoms consistent nerve agent use victims suspected chemical attack syria appeared show symptoms consistent reaction nerve agent world health organization said wednesday cases appear show additional signs consistent exposure organophosphorus chemicals category chemicals includes nerve agents said statement putting death toll least united states said deaths caused sarin nerve gas dropped syrian aircraft russia said believes poison gas leaked rebel chemical weapons depot struck syrian bombs sarin organophosporus compound nerve agent chlorine mustard gas also believed used past syria russian defence ministry spokesman say agent used attack said rebels used chemical weapons aleppo last year said likely kind chemical used attack sufferers apparent external injuries died rapid onset similar symptoms including acute respiratory distress said experts turkey giving guidance overwhelmed health workers idlib diagnosis treatment patients medicines atropine antidote types chemical exposure steroids symptomatic treatment sent u n commission inquiry human rights syria previously said forces loyal syrian president bashar al assad used lethal chlorine gas multiple occasions hundreds civilians died sarin gas attack ghouta outskirts damascus august assads government always denied responsibility attack syria agreed destroy chemical weapons deal brokered moscow washington russia syrian ally china repeatedly vetoed united nations move sanction assad refer situation syria international criminal court types weapons banned international law represent intolerable barbarism peter salama executive director health emergencies programme said statement reuters,0
fri apr homs governor says u attack caused deaths doesnt see big human losses u missile strike airbase near syrian city homs friday caused deaths believed resulted big human casualties homs governor talal barazi said barazi said attack served interests armed terrorist groups including islamic state adding targeted airbase providing air support army operations islamic state east palmyra barazi speaking series phone interviews media friday confirmed deaths airbase phone interview lebanese tv station al mayadeen believe god willing human casualties big material damage hope many victims martyrs told reuters telephone speaking dawn said rescue fire fighting operations going two hours base said attack form support armed terrorist groups attempt weaken capabilities syrian arab army combat terrorism speaking syrian state tv barazi said syrian leadership syrian policy change targeting first dont believe last added separate comments al mayadeen said war terrorism continue u president donald trump said ordered missile strikes airfield deadly chemical weapons attack launched week declaring acted americas national security interest syrian president bashar al assad u officials said military fired dozens cruise missiles base response suspected gas attack rebel held area washington blamed assads forces syrian government strongly denied responsibility u strikes targeted military positions syria homs specifically order publicly serve goals terrorism syria goals israel long run barazi added interview state tv reuters,0
sun apr death toll aleppo bomb attack least death toll bomb blast crowded syrian bus convoy outside aleppo reached least people syrian observatory human rights monitoring group said sunday syrian rescue workers civil defence said carted away least bodies site saturdays blast hit buses carrying shiite residents waited cross rebel government territory evacuation deal warring sides british based observatory said number expected rise killed mostly residents villages al foua kefraya idlib province included rebel fighters guarding convoy observatory said immediate claim responsibility attack pro damascus media said carried suicide car bomber convoy carrying least people including civilians several hundred pro government fighters granted safe passage two shiite villages besieged rebels evacuation deal people including rebel fighters granted safe passage madaya town near damascus besieged government forces allies convoy waiting bus garage government held area aleppos outskirts miles attack took place madaya evacuees said heard blast reuters,0
wed apr aleppo bomb blast kills six syrian state tv bomb blast killed six people injured salah al din district aleppo syrian state television reported wednesday without giving details salah al din located west aleppos old city district part last rebel enclave taken syrian army advance december reuters,0
sun jul syria rebels dead fighting key aleppo road least syrian rebels killed clashes regime troops overnight failed bid reopen oppositions key supply route aleppo city monitor said sunday fighters faylaq al sham islamist faction al qaeda affiliate al nusra front killed trying reopen castello road regime forces effectively severed thursday syrian observatory human rights monitor said afp,0
tue jul suicide bombing kills least northeast syria suicide bomb blast killed least people mostly kurdish controlled city hasaka northeastern syria tuesday monitoring group syrian observatory human rights said attacker detonated explosives bakery british based observatory said several people wounded death toll likely rise number serious injuries immediate claim responsibility bombing islamic state targeted areas hasaka province past including another city qamishli bomb attacks hasaka city rarer recent months kurdish ypg militia controls hasaka province captured large areas territory islamic state northeastern syria last year involved u backed offensive jihadists west near turkish border reuters,0
sun jul dead heavy u raids syria stronghold six civilians including child among least people killed u air strikes islamic state groups de facto syrian capital saturday sunday monitor said rest dead raids city raqa fighters syrian observatory human rights said dozens people also wounded u led coalition launched air war syria last september said carried significant air strikes raqa significant air strikes tonight executed deny daesh ability move military capabilities throughout syria iraq spokesman lieutenant colonel thomas gilleran said one largest deliberate engagements conducted date syria debilitating effects daeshs ability move raqa coalition forces successfully engaged multiple targets throughout raqa statement said destroying structures transit routes strikes severely constricted terrorist freedom movement added washington leading coalition fighting syria iraq extremist group proclaimed islamic caliphate territory control group emerged syria controls around half countrys territory though much land holds unpopulated desert people killed syria since conflict began march afp,0
sun feb suicide bomber kills assad clans hometown suicide bomber driving ambulance killed four people sunday unprecedented attack hospital took syrias civil war ruling assad clans hometown first time monitoring group said attack came syrian observatory human rights reported troops executed people earlier week northern village among children man drove ambulance packed explosives parking qardaha hospital another man vehicle unclear whether accomplice hostage four people killed attack said observatory director rami abdel rahman earlier state television reported blast specify nature attack attack first explosion hit heart western town since outbreak syrias civil war killed nurse hospital employee two soldiers said observatory director abdel rahman outskirts qardaha previously come rocket fire latakia province town located seen several rounds heavy fighting mausoleum containing graves president bashar assads father predecessor hafez brother bassil located qardaha clan ruled syria iron fist years syrias war began march pro democracy revolt seeking assads ouster morphed conflict regime unleashed brutal crackdown dissent troops kill children meanwhile observatory said children rebels among people executed government forces northern village rityan earlier week killings took place troops entered town tuesday offensive aimed cutting rebel supply lines turkish border abdel rahman said dead six families resistance except one house rebel opened fire troops executed along family brief seizure rityan part abortive army offensive week encircle rebel held east aleppo relieve two besieged shiite villages north friday one villages taken government forces recaptured rebels include fighters al qaeda affiliate al nusra front heavy fighting claimed lives loyalists rebels including al nusra commander according observatory toll air raids kill thousands ground offensive failed warplanes kept pounding rebel areas aleppo city parts country saturday two women two children among eight people killed barrel bomb hit building opposition held area aleppo city syrias commercial capital six people also reported killed rebel shelling regime held areas city air force also killed least people rebel areas east damascus saturday observatory said according group latest people killed across syria since un security council passed resolution last year ordering end sieges indiscriminate use weapons populated areas observatory documented killing civilians including children women men barrel bombings air raids past year meanwhile rebel fire regime held areas killed people said observatory adding children people died areas army siege past year result food medical shortages despite fact resolution also ordered lifting sieges afp,0
sun feb explosion rocks town damascus explosion inside bus killed six people injured another ten town damascus according preliminary reports sunday syrias government run tv said explosion took place al kalassa region syrian capital people injured unspecified number others killed,1
sat aug damascus explosion due rocket bomb blast heard saturday evening area burj rouss qsaa syrian capital damascus due rocket bomb car explosion nna correspondent reported rocket bomb packed heavy explosive material led killing one person injury others addition causing huge material damages within area explosion nna correspondent added quoting syrian national television,0
february casualties mount eastern ghouta city regime continues assault tenth day row people killed troops allied syrian regime stepped attacks syrias eastern ghouta governorate focusing city douma around km northeast damascus regime aircraft dropped bombs city least airstrikes past ten days according analysts rescue teams volunteers continue search survivors bodies rubble amid mass destruction neighbourhoods osama said douma based media activist told al araby al jadeed least people mainly women children injured bombing campaign residential buildings destroyed according citys monitoring documentation office retaliation administration president bashar al assad said attacks ramped zahran alloush leader army islam merged collection rebel opposition groups declared damascus military zone ar shot hundreds missiles capital rescue teams volunteers continue search survivors bodies osama said media activist latest escalation also attempt regime forces break eastern ghouta controlled army islam douma based activists drawn worlds attention tragedy using hashtag doumaexterminated arabic equivalent pictures videos city posted using hashtag shown dozens severely injured children receiving treatment makeshift hospitals well injured civilians dead bodies pulled rubble pictures douma high civilian body count show regime targeting residential areas military sites said hisham marwah syrian national coalitions snc vice president regime used policy collective punishment many parts syria since uprising began added marwah called international community put pressure assads regime stop massacres immediately international alliance add assads positions locations targeting attacks islamic state group syria added locations targeted assads troops week eastern ghouta include towns misraba ayn tarma arbin kafr batna al wafideen refugee camp article edited translation arabic edition also,1
february free syrian army nusra front fighters pushed town deir al adas surrounding areas rebels claim iranian backed lebanese group wants set permanent base hizballah fighters backed syrian iranian forces pushed nusra front town deir al adas reports say major offensive daraa governorate london based syrian observatory human rights said deir al adas taken tuesday two days fierce fighting regime elements rebels including members nusra al qaedas affiliate syria fighters free syrian army offensive part operation launched sunday seize areas intersection point three syrian governorates rif dimashq daraa quneitra near disputed golan heights observatory group said opposition fighters killed fighting including hizballah ambush near deir al adas groups director rami abdulrahman told afp news agency hizballah leading attack deir al adas surrounding hills al araby al jadeed cannot independently verify reports restoring security official syrian news agency sana quoted military source wednesday saying army able restore security sanei tal al hawa tal arous southwestern countryside damascus tal meri west damascus al danaji tal antar near deir al adas opposition local coordination committee deir al adas said heavy shelling forced free syrian army town range firepower ayman al aasmi member fsa southern front command claimed hizballah trying set permanent base north daraa link positions southern lebanon hills mount hermon issue retaking towns hills said hizballah pushed large forces battle mostly made lebanese iraqi militias light regime forces collapse daraa governorate result losses battles opposition forces defections redeployment hot spots governorates article edited translation original arabic,1
february sawaiq al rahman brigade announced killed several nusra front fighters clashes opposition groups continue tags syria free syrian army opposition groups sawaiq al rahman brigade al nusra front idlib sawaiq al rahman brigade announced monday killed six nusra front fighters injured several others countryside south idlib northwest syria brigade syrian opposition faction affiliated free syrian army fsa operation carried response al nusras attack town amiriyah set fire several houses including one belonging mithqal al abdallah former syrian revolutionary front srf commander sawaiq al rahman brigade stated al nusra many enemies also many hostages including son col haitham afisi former fsa deputy chief staff brigade also recently killed abu hassan al nusra leader town salqin countryside around idlib hanged violations committed al nusra towns civilians according statement issued brigade fsas special forces seventh division also issued statement giving al nusra hours release took hostage nearly week ago stormed headquarters town larouz taken include divisions commander several fighters statement also called al nusra return possessions taken abide law god prevent bloodshed former fsa deputy chief staff colonel haitham afisi said past eight months al nusra also attacked fighters groups including fsa srf hazzm maarat al noman martyrs brigade idlib martyrs brigade led mithal al abdallah yusuf al hassan al nusra many enemies also many hostages including son brigade commander detained four months afisi told al araby al jadeed colonel said group lost popular support become target attacked likely unite nusra front al qaeda franchise operating syria lebanon aims overthrow regime president assad syria group designated terrorist organisation many western governments early november al nusra started expanding countryside around idlib clashing opposition factions particularly srf al nusra since seized control countryside south idlib provincial capital article edited translation arabic edition,1
july called islamic state group posted online new disturbing video showing murder two syrian activists confess spying tags syria islamic state activists murder video palmyra islamic state group released new video purporting show killing two syrian activists militants stronghold raqqa allegedly spying extremists killed hundreds people since declared islamic caliphate june last year city raqqa de facto capital video posted monday linked facebook page shows two young men orange jumpsuits say filmed photographed held areas syria sent footage person abroad identify year old faysal hussein habibi year old bishr abdul azim tied tree masked gunmen shoot head close range follows release video posted online n july purportedly showing islamic state fighters killing syrian soldiers historic town palmyra central syria scores syrian troops state employees killed days palmyra fell video showed soldiers taken pickup trucks towns notorious tadmur prison amphitheatre theatre shot dead young members armed pistols hundreds people seen watching killings video indicate killings took place britain based syrian observatory human rights said shootings took place may reported may scores syrian troops state employees murdered days town fell may palmyra unesco world heritage site famous year old roman colonnades ruins priceless artifacts capture palmyra raised concern militants might try destroy one middle easts spectacular archaeological sites well preserved roman era city towns edge destroyed pre islamic ancient monuments elsewhere syria iraq july said militants destroyed six archaeological pieces palmyra confiscated smuggler shootings video took place inside archaeological site troops bruises blood faces apparently result beaten made kneel front giant black flag shot back heads,1
july suicide bomber al qaedas syrian affiliate al nusra front killed soldiers fighters loyal assads regime government held western aleppo monday monitoring group said tags nusra front al qaeda aleppo syria assad extremism war suicide bomber syrias al qaeda offshoot nusra front blew syrian army outpost contested neighborhood divided northern city aleppo killed least soldiers allied militia injured scores monitor said uk based syrian observatory human rights tracks violence across country said explosion blast heard across city several islamist led groups recently launched offensive control remaining western parts city government hands rebel websites said heavy bombardment rebel held portions jamiyat al zahra district rebels gained ground brought closer heart government controlled parts city civil war countrys main industrial commercial hub rami abdul rahman head monitor group said syrian army responded heavy firepower including aerial bombardment attempt stem offensive al qaeda linked insurgents posted social media images fighters nusra front heading towards district syrian army repeatedly said recent days fallen insurgent hands syrian television said syrian army foiled attempt extremists detonate explosive laden truck heading towards jamiyat al zahra detonated reaching target,0
